date,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount,turnover_rate
2025-10-24,11606.0,11425.0,11663.0,11374.0,1754.0,303320576.0,2.52,-0.24,-27.0,0.0
2025-10-27,11422.0,11483.0,11595.0,11413.0,1468.0,253548555.0,1.58,-0.39,-45.0,0.0
2025-10-28,11361.0,11148.0,11404.0,11108.0,3250.0,547393168.0,2.57,-3.18,-366.0,0.0
2025-10-29,11120.0,11431.0,11440.0,11120.0,2909.0,493468448.0,2.85,1.81,203.0,0.0
2025-10-30,11512.0,11348.0,11527.0,11218.0,5064.0,860808976.0,2.73,0.34,39.0,0.0
2025-10-31,11343.0,11527.0,11621.0,11335.0,5200.0,896901728.0,2.52,1.72,195.0,0.0
2025-11-03,11547.0,11546.0,11568.0,11335.0,3375.0,580854032.0,2.03,0.42,48.0,0.0
2025-11-04,11549.0,11341.0,11588.0,11293.0,4050.0,694573680.0,2.57,-1.15,-132.0,0.0
2025-11-05,11340.0,11370.0,11422.0,11200.0,4514.0,765075440.0,1.94,-0.55,-63.0,0.0
2025-11-06,11399.0,11512.0,11529.0,11354.0,2859.0,491196256.0,1.55,1.89,213.0,0.0
2025-11-07,11539.0,11575.0,11579.0,11368.0,3929.0,677608560.0,1.84,1.07,122.0,0.0
2025-11-10,11556.0,11806.0,11819.0,11464.0,7022.0,1225291808.0,3.09,2.69,309.0,0.0
2025-11-11,11878.0,11971.0,12044.0,11795.0,4477.0,801548288.0,2.14,2.91,339.0,0.0
2025-11-12,12052.0,12160.0,12160.0,11909.0,5294.0,955524224.0,2.1,1.89,225.0,0.0
2025-11-13,12176.0,12670.0,12722.0,12126.0,12561.0,2353822928.0,4.95,5.3,638.0,0.0
2025-11-14,12676.0,12452.0,12676.0,12400.0,10139.0,1902305408.0,2.21,-0.32,-40.0,0.0
2025-11-17,12315.0,12004.0,12333.0,11934.0,11714.0,2123570608.0,3.19,-4.03,-504.0,0.0
2025-11-18,12045.0,11780.0,12105.0,11775.0,6711.0,1202209328.0,2.73,-2.52,-305.0,0.0
2025-11-19,11855.0,12207.0,12231.0,11845.0,6615.0,1193664592.0,3.23,2.22,265.0,0.0
2025-11-20,12352.0,12078.0,12361.0,11972.0,9276.0,1696131744.0,3.23,0.41,49.0,0.0
2025-11-21,12089.0,11665.0,12160.0,11653.0,14461.0,2581911600.0,4.16,-4.31,-525.0,0.0
