date,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount,turnover_rate
2025-11-03,2659.0,2654.0,2660.0,2634.0,184.0,4875300.0,0.0,0.0,0.0,0.0
2025-11-04,2650.0,2650.0,2658.0,2648.0,85.0,2254420.0,0.38,0.04,1.0,0.0
2025-11-05,2646.0,2642.0,2646.0,2630.0,161.0,4242670.0,0.6,-0.38,-10.0,0.0
2025-11-06,2636.0,2633.0,2641.0,2624.0,154.0,4052590.0,0.65,-0.08,-2.0,0.0
2025-11-07,2636.0,2630.0,2636.0,2618.0,190.0,4988280.0,0.68,-0.04,-1.0,0.0
2025-11-10,2625.0,2626.0,2628.0,2615.0,171.0,4484170.0,0.5,0.04,1.0,0.0
2025-11-11,2623.0,2611.0,2629.0,2609.0,337.0,8828860.0,0.76,-0.42,-11.0,0.0
2025-11-12,2620.0,2621.0,2638.0,2618.0,310.0,8141730.0,0.76,0.08,2.0,0.0
2025-11-13,2615.0,2559.0,2615.0,2551.0,1313.0,33729180.0,2.44,-2.55,-67.0,0.0
2025-11-14,2566.0,2582.0,2591.0,2562.0,497.0,12821250.0,1.13,0.55,14.0,0.0
2025-11-17,2578.0,2573.0,2584.0,2570.0,312.0,8038420.0,0.54,-0.23,-6.0,0.0
2025-11-18,2584.0,2558.0,2587.0,2553.0,725.0,18617400.0,1.32,-0.7,-18.0,0.0
2025-11-19,2565.0,2557.0,2567.0,2549.0,622.0,15910470.0,0.7,-0.39,-10.0,0.0
2025-11-20,2541.0,2520.0,2541.0,2494.0,1701.0,42759030.0,1.84,-1.45,-37.0,0.0
2025-11-21,2528.0,2495.0,2540.0,2488.0,3123.0,78146320.0,2.07,-0.72,-18.0,0.0
2025-11-24,2490.0,2499.0,2500.0,2485.0,1175.0,29278370.0,0.6,-0.12,-3.0,0.0
2025-11-25,2500.0,2494.0,2513.0,2492.0,958.0,23944950.0,0.84,0.12,3.0,0.0
2025-11-26,2480.0,2479.0,2483.0,2465.0,1193.0,29523320.0,0.72,-0.8,-20.0,0.0
2025-11-27,2476.0,2472.0,2476.0,2463.0,1001.0,24717370.0,0.53,-0.08,-2.0,0.0
2025-11-28,2483.0,2506.0,2510.0,2477.0,1039.0,25897640.0,1.34,1.5,37.0,0.0
2025-12-01,2501.0,2504.0,2509.0,2478.0,826.0,20589320.0,1.24,0.48,12.0,0.0
2025-12-02,2496.0,2485.0,2496.0,2483.0,598.0,14877860.0,0.52,-0.28,-7.0,0.0
