date,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount,turnover_rate
2025-10-29,3720.0,3712.0,3739.0,3688.0,498.0,18512960.0,0.0,0.0,0.0,0.0
2025-10-30,3707.0,3701.0,3716.0,3701.0,433.0,16057040.0,0.4,-0.43,-16.0,0.0
2025-10-31,3700.0,3686.0,3710.0,3684.0,197.0,7264570.0,0.7,-0.59,-22.0,0.0
2025-11-03,3688.0,3700.0,3702.0,3685.0,133.0,4915120.0,0.46,0.35,13.0,0.0
2025-11-04,3703.0,3692.0,3703.0,3690.0,88.0,3252410.0,0.35,-0.08,-3.0,0.0
2025-11-05,3698.0,3697.0,3700.0,3690.0,59.0,2181750.0,0.27,0.05,2.0,0.0
2025-11-06,3700.0,3687.0,3702.0,3685.0,80.0,2953300.0,0.46,-0.27,-10.0,0.0
2025-11-07,3684.0,3668.0,3692.0,3642.0,431.0,15787210.0,1.35,-0.62,-23.0,0.0
2025-11-10,3670.0,3675.0,3675.0,3667.0,61.0,2239390.0,0.22,0.35,13.0,0.0
2025-11-11,3676.0,3691.0,3693.0,3671.0,197.0,7260650.0,0.6,0.54,20.0,0.0
2025-11-12,3694.0,3685.0,3694.0,3674.0,113.0,4160720.0,0.54,0.0,0.0,0.0
2025-11-13,3680.0,3689.0,3689.0,3676.0,93.0,3424970.0,0.35,0.19,7.0,0.0
2025-11-14,3690.0,3670.0,3693.0,3667.0,232.0,8529860.0,0.71,-0.33,-12.0,0.0
2025-11-17,3672.0,3682.0,3684.0,3670.0,153.0,5627860.0,0.38,0.16,6.0,0.0
2025-11-18,3683.0,3675.0,3691.0,3666.0,452.0,16637960.0,0.68,-0.08,-3.0,0.0
2025-11-19,3677.0,3694.0,3700.0,3675.0,366.0,13507480.0,0.68,0.38,14.0,0.0
2025-11-20,3697.0,3700.0,3704.0,3690.0,362.0,13390870.0,0.38,0.27,10.0,0.0
2025-11-21,3695.0,3691.0,3699.0,3688.0,140.0,5169100.0,0.3,-0.22,-8.0,0.0
2025-11-24,3696.0,3700.0,3701.0,3689.0,224.0,8282560.0,0.33,0.22,8.0,0.0
2025-11-25,3700.0,3704.0,3713.0,3698.0,313.0,11594900.0,0.41,0.19,7.0,0.0
2025-11-26,3705.0,3727.0,3727.0,3701.0,391.0,14516040.0,0.7,0.62,23.0,0.0
2025-11-27,3725.0,3757.0,3767.0,3719.0,722.0,27013300.0,1.29,1.21,45.0,0.0
2025-11-28,3757.0,3817.0,3822.0,3751.0,788.0,29893490.0,1.9,2.03,76.0,0.0
2025-12-01,3822.0,3945.0,3950.0,3822.0,3786.0,147992940.0,3.37,4.01,152.0,0.0
2025-12-02,3940.0,3926.0,3999.0,3917.0,3161.0,124938240.0,2.1,0.46,18.0,0.0
2025-12-03,3913.0,3925.0,3963.0,3900.0,2617.0,102866500.0,1.59,-0.68,-27.0,0.0
2025-12-04,3910.0,3927.0,3932.0,3873.0,1782.0,69522510.0,1.5,-0.08,-3.0,0.0
2025-12-05,3932.0,3936.0,3946.0,3912.0,839.0,33004200.0,0.87,0.9,35.0,0.0
2025-12-08,3933.0,3968.0,3968.0,3933.0,1281.0,50691180.0,0.89,0.89,35.0,0.0
2025-12-09,3968.0,3919.0,3975.0,3914.0,940.0,37054030.0,1.54,-0.96,-38.0,0.0
2025-12-10,3914.0,3891.0,3938.0,3869.0,1688.0,65820000.0,1.75,-1.27,-50.0,0.0
2025-12-11,3892.0,3905.0,3919.0,3886.0,578.0,22558890.0,0.85,0.15,6.0,0.0
