date,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount
2025-09-15,1276.5,1331.0,1340.0,1260.0,1579.0,0.0,0.0,0.0,0.0
2025-09-16,1344.0,1380.5,1388.0,1338.0,1605.0,0.0,0.0,3.71900826446281,49.5
2025-09-17,1395.0,1367.0,1395.0,1340.0,1817.0,0.0,0.0,-0.9779065555957986,-13.5
2025-09-18,1363.5,1356.5,1376.0,1341.5,1046.0,0.0,0.0,-0.7681053401609363,-10.5
2025-09-19,1365.0,1396.5,1398.0,1355.0,1852.0,0.0,0.0,2.948765204570586,40.0
2025-09-22,1398.0,1376.0,1417.0,1361.0,2515.0,0.0,0.0,-1.4679556032939491,-20.5
2025-09-23,1376.0,1386.0,1387.0,1352.5,1594.0,0.0,0.0,0.7267441860465116,10.0
2025-09-24,1387.5,1382.0,1398.0,1367.5,1686.0,0.0,0.0,-0.2886002886002886,-4.0
2025-09-25,1382.0,1397.5,1401.5,1375.0,919.0,0.0,0.0,1.1215629522431259,15.5
2025-09-26,1394.0,1352.5,1396.5,1352.0,1478.0,0.0,0.0,-3.2200357781753133,-45.0
2025-09-29,1350.0,1314.5,1358.0,1314.5,1278.0,0.0,0.0,-2.809611829944547,-38.0
2025-09-30,1319.0,1299.0,1334.0,1284.0,1373.0,0.0,0.0,-1.1791555724610117,-15.5
2025-10-09,1307.0,1351.0,1352.5,1300.0,1140.0,0.0,0.0,4.003079291762894,52.0
2025-10-10,1354.5,1346.0,1362.0,1337.0,1814.0,0.0,0.0,-0.3700962250185048,-5.0
2025-10-13,1340.0,1329.5,1354.5,1309.0,1709.0,0.0,0.0,-1.2258543833580982,-16.5
2025-10-14,1330.5,1318.0,1341.5,1282.0,3890.0,0.0,0.0,-0.8649868371568259,-11.5
2025-10-15,1310.0,1312.0,1321.0,1286.0,2853.0,0.0,0.0,-0.4552352048558422,-6.0
2025-10-16,1315.0,1352.0,1353.5,1302.0,2745.0,0.0,0.0,3.048780487804878,40.0
2025-10-17,1351.5,1340.0,1357.5,1333.0,2827.0,0.0,0.0,-0.8875739644970414,-12.0
2025-10-20,1345.0,1360.5,1387.5,1345.0,3447.0,0.0,0.0,1.5298507462686568,20.5
2025-10-21,1356.0,1326.0,1356.5,1323.5,2700.0,0.0,0.0,-2.535832414553473,-34.5
2025-10-22,1335.0,1362.5,1365.5,1328.0,2619.0,0.0,0.0,2.7526395173453997,36.5
2025-10-23,1362.0,1396.0,1396.0,1355.0,3532.0,0.0,0.0,2.458715596330275,33.5
2025-10-24,1399.0,1383.0,1401.0,1375.5,3816.0,0.0,0.0,-0.9312320916905444,-13.0
