date,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount,turnover_rate
2026-01-19,1440.0,1414.5,1443.0,1400.5,2891.0,247236930.0,0.0,0.0,0.0,0.0
2026-01-20,1419.0,1365.5,1419.0,1365.0,2200.0,183689520.0,3.79,-4.18,-59.5,0.0
2026-01-21,1360.0,1366.5,1369.0,1343.0,2093.0,170226780.0,1.87,-1.8,-25.0,0.0
2026-01-22,1365.5,1367.0,1372.5,1354.5,1472.0,120305970.0,1.33,0.85,11.5,0.0
2026-01-23,1368.0,1402.5,1414.0,1362.5,2512.0,209059710.0,3.78,2.97,40.5,0.0
2026-01-26,1400.0,1403.0,1412.5,1385.0,1702.0,142454940.0,1.98,1.15,16.0,0.0
2026-01-27,1405.0,1373.0,1405.0,1364.0,2319.0,191866890.0,2.94,-1.54,-21.5,0.0
2026-01-28,1373.0,1392.5,1394.5,1364.0,1686.0,139435200.0,2.21,1.02,14.0,0.0
2026-01-29,1389.0,1419.5,1419.5,1380.0,2376.0,199290570.0,2.87,3.01,41.5,0.0
2026-01-30,1420.0,1405.5,1460.5,1399.5,4604.0,395077776.0,4.36,0.57,8.0,0.0
2026-02-02,1418.0,1397.5,1435.5,1391.0,5006.0,425993728.0,3.11,-2.27,-32.5,0.0
2026-02-03,1404.5,1410.0,1430.0,1391.0,3581.0,303720272.0,2.75,-0.56,-8.0,0.0
2026-02-04,1410.0,1445.0,1469.5,1405.0,4151.0,358392960.0,4.56,2.23,31.5,0.0
2026-02-05,1438.5,1414.0,1443.5,1409.0,2682.0,228865440.0,2.4,-1.7,-24.5,0.0
2026-02-06,1411.0,1390.5,1419.0,1389.5,3387.0,285658704.0,2.07,-2.22,-31.5,0.0
2026-02-09,1390.0,1393.5,1401.0,1376.5,1668.0,139104090.0,1.74,-0.85,-12.0,0.0
2026-02-10,1392.0,1371.5,1394.0,1370.0,1478.0,122232330.0,1.73,-1.3,-18.0,0.0
2026-02-11,1371.0,1377.0,1388.0,1368.0,978.0,80917560.0,1.45,-0.07,-1.0,0.0
2026-02-12,1380.5,1373.5,1386.0,1366.5,1006.0,83218650.0,1.41,-0.36,-5.0,0.0
2026-02-13,1377.0,1376.0,1384.0,1370.0,903.0,74589990.0,1.02,-0.18,-2.5,0.0
2026-02-24,1386.5,1365.5,1393.0,1345.0,2201.0,180187890.0,3.49,-0.8,-11.0,0.0
2026-02-25,1356.5,1391.0,1396.0,1356.5,2076.0,172026990.0,2.9,1.98,27.0,0.0
2026-02-26,1384.0,1368.0,1388.0,1358.5,1690.0,138976020.0,2.14,-0.94,-13.0,0.0
2026-02-27,1365.0,1382.0,1386.5,1354.0,3418.0,281032768.0,2.37,0.84,11.5,0.0
2026-03-02,1383.0,1392.5,1394.5,1357.5,3665.0,303715744.0,2.7,1.64,22.5,0.0
2026-03-03,1394.0,1420.0,1420.0,1374.0,5280.0,441883024.0,3.33,2.82,39.0,0.0
2026-03-04,1410.0,1402.0,1422.0,1389.0,4406.0,371389824.0,2.37,0.54,7.5,0.0
2026-03-05,1400.0,1401.0,1413.5,1392.0,3594.0,302690048.0,1.53,-0.25,-3.5,0.0
2026-03-06,1405.0,1426.0,1427.0,1396.0,3683.0,312317008.0,2.21,1.6,22.5,0.0
2026-03-09,1432.0,1468.0,1526.0,1432.0,11912.0,1058297168.0,6.65,3.89,55.0,0.0
2026-03-10,1480.0,1437.0,1480.0,1422.5,4978.0,431212560.0,3.88,-2.94,-43.5,0.0
2026-03-11,1443.5,1461.5,1462.0,1433.0,2717.0,235762020.0,2.01,1.25,18.0,0.0
2026-03-12,1470.0,1466.0,1492.0,1458.0,5060.0,447399488.0,2.35,1.38,20.0,0.0
2026-03-13,1478.0,1479.5,1495.5,1463.0,3397.0,301757216.0,2.21,0.41,6.0,0.0
2026-03-16,1470.0,1482.0,1495.0,1448.5,5173.0,456521760.0,3.14,0.1,1.5,0.0
2026-03-17,1470.0,1475.5,1480.5,1457.5,2138.0,188542710.0,1.56,0.34,5.0,0.0
2026-03-18,1476.5,1466.5,1492.5,1461.0,2560.0,226969770.0,2.14,-0.2,-3.0,0.0
2026-03-19,1470.0,1480.0,1496.5,1467.5,2834.0,252132240.0,1.96,0.17,2.5,0.0
2026-03-20,1475.5,1489.0,1493.5,1472.0,3122.0,277889520.0,1.45,0.44,6.5,0.0
2026-03-23,1484.0,1599.5,1602.0,1484.0,16450.0,1553002416.0,7.95,7.82,116.0,0.0
2026-03-24,1550.0,1568.0,1612.5,1527.5,10211.0,968606432.0,5.4,-0.32,-5.0,0.0
2026-03-25,1575.0,1571.5,1592.5,1543.5,8824.0,827752288.0,3.1,-0.57,-9.0,0.0
