date,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount,turnover_rate
2026-01-19,155000.0,151900.0,164920.0,144920.0,231.0,34969160.0,0.0,0.0,0.0,0.0
2026-01-20,151780.0,164560.0,164560.0,151780.0,159.0,25245760.0,8.44,8.71,13180.0,0.0
2026-01-21,160900.0,170000.0,170960.0,160900.0,383.0,64549000.0,6.34,7.08,11240.0,0.0
2026-01-22,169980.0,170260.0,174420.0,167320.0,558.0,96007400.0,4.21,1.03,1740.0,0.0
2026-01-23,178500.0,181800.0,181800.0,174620.0,172.0,30692100.0,4.17,5.67,9760.0,0.0
2026-01-26,185980.0,171260.0,189580.0,166020.0,531.0,95449940.0,13.2,-4.02,-7180.0,0.0
2026-01-27,170020.0,181540.0,181540.0,168980.0,256.0,44436180.0,6.99,1.0,1800.0,0.0
2026-01-28,183880.0,169000.0,183880.0,166040.0,420.0,72239160.0,10.28,-2.63,-4560.0,0.0
2026-01-29,167700.0,167500.0,174780.0,161680.0,797.0,133785180.0,7.62,-2.6,-4480.0,0.0
2026-01-30,165520.0,149400.0,166500.0,149400.0,793.0,122583320.0,10.19,-11.0,-18460.0,0.0
2026-02-02,154000.0,137580.0,154000.0,137580.0,978.0,141188820.0,10.62,-11.0,-17000.0,0.0
2026-02-03,137580.0,147700.0,151100.0,137500.0,715.0,104059680.0,9.42,2.31,3340.0,0.0
2026-02-04,150000.0,146740.0,150600.0,146400.0,179.0,26607360.0,2.89,0.84,1220.0,0.0
2026-02-05,147900.0,132400.0,147900.0,132400.0,1020.0,139084640.0,10.43,-10.93,-16240.0,0.0
2026-02-06,127320.0,133100.0,139980.0,126400.0,1267.0,169597040.0,9.96,-2.38,-3240.0,0.0
2026-02-09,138920.0,137580.0,139500.0,135620.0,363.0,49889080.0,2.9,2.79,3740.0,0.0
2026-02-10,138500.0,138160.0,140740.0,134860.0,1185.0,164319920.0,4.28,0.54,740.0,0.0
2026-02-11,140100.0,150640.0,150640.0,139280.0,2377.0,339149056.0,8.19,8.64,11980.0,0.0
2026-02-12,154960.0,148560.0,154960.0,146900.0,755.0,113139920.0,5.65,4.14,5900.0,0.0
2026-02-13,141900.0,152000.0,152000.0,141900.0,242.0,36183540.0,6.74,1.44,2160.0,0.0
2026-02-24,160000.0,164600.0,166140.0,151500.0,1352.0,218643140.0,9.79,10.1,15100.0,0.0
2026-02-25,166000.0,166000.0,170600.0,164060.0,655.0,110693660.0,4.04,2.66,4300.0,0.0
2026-02-26,188000.0,173600.0,188000.0,171000.0,1361.0,239317380.0,10.06,2.73,4620.0,0.0
2026-02-27,173900.0,174760.0,176500.0,168500.0,184.0,31924860.0,4.55,-0.6,-1060.0,0.0
2026-03-02,172800.0,173000.0,175940.0,170260.0,1133.0,197264360.0,3.27,-0.29,-500.0,0.0
2026-03-03,167000.0,151480.0,168540.0,151480.0,609.0,94845300.0,9.8,-12.99,-22620.0,0.0
2026-03-04,145660.0,153500.0,154820.0,145660.0,674.0,101832520.0,5.88,-1.43,-2220.0,0.0
2026-03-05,161880.0,154980.0,161880.0,149880.0,443.0,68229780.0,7.94,2.58,3900.0,0.0
2026-03-06,151260.0,156600.0,160000.0,151260.0,150.0,23454440.0,5.68,1.69,2600.0,0.0
2026-03-09,148000.0,161720.0,164940.0,146000.0,373.0,58369640.0,12.11,3.43,5360.0,0.0
2026-03-10,163800.0,160240.0,167020.0,160240.0,154.0,25030980.0,4.33,2.4,3760.0,0.0
2026-03-11,167900.0,156080.0,167900.0,155660.0,340.0,54292640.0,7.53,-3.96,-6440.0,0.0
2026-03-12,161180.0,158100.0,161180.0,154320.0,357.0,55923880.0,4.3,-0.99,-1580.0,0.0
2026-03-13,158980.0,151980.0,162120.0,151160.0,172.0,26649120.0,7.0,-2.97,-4660.0,0.0
2026-03-16,154300.0,159660.0,159940.0,149820.0,487.0,75191840.0,6.53,3.06,4740.0,0.0
2026-03-17,159460.0,155680.0,159580.0,154420.0,271.0,42514420.0,3.34,0.84,1300.0,0.0
2026-03-18,156000.0,151120.0,157960.0,149760.0,561.0,85844820.0,5.23,-3.66,-5740.0,0.0
2026-03-19,148680.0,142240.0,149560.0,140020.0,788.0,114123560.0,6.23,-7.04,-10780.0,0.0
2026-03-20,146180.0,144440.0,151020.0,143120.0,630.0,93070740.0,5.46,-0.26,-380.0,0.0
2026-03-23,140600.0,149420.0,149440.0,140600.0,211.0,30343440.0,5.98,1.15,1700.0,0.0
2026-03-24,155520.0,153620.0,155520.0,148200.0,919.0,139878280.0,5.09,6.83,9820.0,0.0
2026-03-25,157680.0,159380.0,161320.0,153820.0,1061.0,166952840.0,4.93,4.72,7180.0,0.0
2026-03-26,163120.0,158300.0,163120.0,155500.0,448.0,71385740.0,4.84,0.61,960.0,0.0
2026-03-27,159480.0,169380.0,169980.0,157740.0,1032.0,168380400.0,7.68,6.3,10040.0,0.0
2026-03-30,172680.0,172220.0,173540.0,168540.0,379.0,65126680.0,3.06,5.57,9080.0,0.0
2026-03-31,172420.0,156000.0,172420.0,156000.0,653.0,105459140.0,9.56,-9.21,-15820.0,0.0
2026-04-01,160800.0,157200.0,163020.0,153340.0,1608.0,250861540.0,5.99,-2.65,-4280.0,0.0
2026-04-02,157660.0,159660.0,162200.0,155400.0,606.0,95749220.0,4.36,2.35,3660.0,0.0
2026-04-03,160000.0,157380.0,160240.0,156660.0,164.0,25956000.0,2.27,-0.39,-620.0,0.0
2026-04-07,157200.0,160020.0,163800.0,156400.0,439.0,70357480.0,4.68,1.11,1760.0,0.0
2026-04-08,161360.0,158960.0,163160.0,157240.0,594.0,94727820.0,3.69,-0.81,-1300.0,0.0
2026-04-09,157540.0,152980.0,158380.0,152420.0,924.0,142945700.0,3.74,-4.06,-6480.0,0.0
2026-04-10,159860.0,155880.0,159860.0,153300.0,864.0,134847740.0,4.24,0.76,1180.0,0.0
2026-04-13,155880.0,164080.0,164280.0,155580.0,3453.0,555949680.0,5.57,5.14,8020.0,0.0
