date,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount,turnover_rate
2025-11-26,13970.0,13930.0,14005.0,13880.0,4709.0,1050922480.0,0.0,0.0,0.0,0.0
2025-11-27,13950.0,13810.0,13950.0,13795.0,1233.0,273772000.0,1.11,-0.97,-135.0,0.0
2025-11-28,13810.0,13795.0,13820.0,13715.0,876.0,193159280.0,0.76,-0.58,-80.0,0.0
2025-12-01,13775.0,13850.0,13880.0,13775.0,1580.0,349703120.0,0.76,0.51,70.0,0.0
2025-12-02,13805.0,13820.0,13915.0,13780.0,1605.0,355734080.0,0.98,-0.07,-10.0,0.0
2025-12-03,13800.0,13790.0,13845.0,13775.0,673.0,148668800.0,0.51,-0.43,-60.0,0.0
2025-12-04,13740.0,13775.0,13805.0,13740.0,494.0,108837440.0,0.47,-0.22,-30.0,0.0
2025-12-05,13790.0,13770.0,13800.0,13725.0,549.0,120997200.0,0.54,0.04,5.0,0.0
2025-12-08,13790.0,13825.0,13835.0,13730.0,1918.0,423590000.0,0.76,0.4,55.0,0.0
2025-12-09,13800.0,13765.0,13830.0,13740.0,1056.0,232980720.0,0.65,-0.25,-35.0,0.0
2025-12-10,13775.0,13665.0,13775.0,13665.0,1050.0,230222800.0,0.8,-0.87,-120.0,0.0
2025-12-11,13665.0,13615.0,13720.0,13600.0,1060.0,231607440.0,0.88,-0.62,-85.0,0.0
2025-12-12,13630.0,13665.0,13700.0,13585.0,935.0,204254960.0,0.84,0.07,10.0,0.0
2025-12-15,13650.0,13660.0,13700.0,13635.0,657.0,143770160.0,0.48,0.07,10.0,0.0
2025-12-16,13640.0,13660.0,13670.0,13595.0,588.0,128263120.0,0.55,-0.11,-15.0,0.0
2025-12-17,13680.0,13665.0,13705.0,13620.0,918.0,200818240.0,0.62,0.26,35.0,0.0
2025-12-18,13670.0,13585.0,13670.0,13585.0,558.0,121637200.0,0.62,-0.62,-85.0,0.0
2025-12-19,13580.0,13675.0,13675.0,13550.0,1193.0,259542800.0,0.92,0.4,55.0,0.0
2025-12-22,13650.0,13615.0,13690.0,13600.0,895.0,195371200.0,0.66,0.15,20.0,0.0
2025-12-23,13615.0,13650.0,13680.0,13610.0,822.0,179415520.0,0.51,0.07,10.0,0.0
2025-12-24,13650.0,13680.0,13720.0,13620.0,1408.0,307950160.0,0.73,0.29,40.0,0.0
2025-12-25,13650.0,13655.0,13695.0,13645.0,634.0,138567360.0,0.37,-0.07,-10.0,0.0
2025-12-26,13665.0,13720.0,13730.0,13650.0,1171.0,256525760.0,0.59,0.44,60.0,0.0
2025-12-29,13760.0,13730.0,13825.0,13690.0,2065.0,454439280.0,0.99,0.29,40.0,0.0
2025-12-30,13730.0,13725.0,13770.0,13685.0,990.0,217420800.0,0.62,-0.18,-25.0,0.0
2025-12-31,13715.0,13765.0,13780.0,13715.0,1139.0,250494640.0,0.47,0.29,40.0,0.0
2026-01-05,13740.0,13770.0,13800.0,13710.0,2607.0,574723760.0,0.65,0.18,25.0,0.0
2026-01-06,13755.0,13890.0,13900.0,13750.0,3467.0,767072320.0,1.09,0.83,115.0,0.0
2026-01-07,13905.0,13875.0,13990.0,13825.0,3579.0,795066720.0,1.19,0.36,50.0,0.0
2026-01-08,13865.0,13785.0,13920.0,13755.0,3058.0,677300960.0,1.19,-0.68,-95.0,0.0
2026-01-09,13795.0,13745.0,13865.0,13720.0,2305.0,508366160.0,1.05,-0.69,-95.0,0.0
2026-01-12,13720.0,13705.0,13780.0,13685.0,2111.0,463828560.0,0.69,-0.54,-75.0,0.0
2026-01-13,13685.0,13660.0,13750.0,13650.0,1784.0,390992400.0,0.73,-0.51,-70.0,0.0
2026-01-14,13680.0,13760.0,13810.0,13645.0,5904.0,1299265600.0,1.2,0.47,65.0,0.0
2026-01-15,13775.0,13715.0,13780.0,13705.0,2561.0,562933440.0,0.55,-0.25,-35.0,0.0
2026-01-16,13715.0,13655.0,13735.0,13645.0,1853.0,405524320.0,0.66,-0.58,-80.0,0.0
2026-01-19,13710.0,13445.0,13710.0,13360.0,4276.0,923312800.0,2.56,-1.68,-230.0,0.0
2026-01-20,13415.0,13415.0,13465.0,13360.0,2356.0,505365280.0,0.78,-0.59,-80.0,0.0
2026-01-21,13415.0,13390.0,13415.0,13375.0,1408.0,301739840.0,0.3,-0.11,-15.0,0.0
2026-01-22,13400.0,13430.0,13455.0,13390.0,870.0,186811360.0,0.49,0.3,40.0,0.0
2026-01-23,13435.0,13360.0,13435.0,13360.0,1202.0,257649200.0,0.56,-0.45,-60.0,0.0
2026-01-26,13350.0,13335.0,13365.0,13305.0,1175.0,250587440.0,0.45,-0.45,-60.0,0.0
2026-01-27,13300.0,13305.0,13365.0,13255.0,1779.0,378639120.0,0.83,-0.15,-20.0,0.0
2026-01-28,13290.0,13285.0,13360.0,13235.0,3844.0,817023440.0,0.94,-0.11,-15.0,0.0
2026-01-29,13260.0,13220.0,13305.0,13195.0,2837.0,600575680.0,0.83,-0.45,-60.0,0.0
2026-01-30,13210.0,13235.0,13260.0,13175.0,1365.0,288808880.0,0.64,0.04,5.0,0.0
2026-02-02,13235.0,13090.0,13295.0,13075.0,3007.0,634570800.0,1.66,-0.98,-130.0,0.0
2026-02-03,13105.0,12960.0,13135.0,12935.0,4253.0,884141440.0,1.52,-1.71,-225.0,0.0
2026-02-04,12970.0,13130.0,13165.0,12950.0,3263.0,682465200.0,1.66,1.08,140.0,0.0
2026-02-05,13165.0,13030.0,13165.0,13000.0,2978.0,621962240.0,1.26,-0.31,-40.0,0.0
2026-02-06,13015.0,13025.0,13060.0,12955.0,2121.0,441668000.0,0.8,-0.19,-25.0,0.0
2026-02-09,13000.0,13010.0,13025.0,12940.0,1538.0,319655440.0,0.65,0.0,0.0,0.0
2026-02-10,13010.0,13030.0,13050.0,12980.0,1018.0,212171440.0,0.54,0.35,45.0,0.0
2026-02-11,13030.0,13150.0,13220.0,13020.0,2487.0,522983680.0,1.54,0.96,125.0,0.0
2026-02-12,13140.0,13160.0,13185.0,13095.0,1144.0,240684960.0,0.68,0.15,20.0,0.0
2026-02-13,13155.0,13065.0,13155.0,13035.0,1809.0,378525520.0,0.91,-0.61,-80.0,0.0
2026-02-24,13025.0,13040.0,13105.0,12960.0,2027.0,422861680.0,1.11,-0.27,-35.0,0.0
2026-02-25,13070.0,13265.0,13365.0,13060.0,5222.0,1109724080.0,2.34,1.76,230.0,0.0
2026-02-26,13290.0,13280.0,13330.0,13230.0,1941.0,412604960.0,0.75,0.0,0.0,0.0
2026-02-27,13310.0,13465.0,13470.0,13310.0,3990.0,855415440.0,1.2,1.35,180.0,0.0
2026-03-02,13460.0,13255.0,13460.0,13040.0,5911.0,1254205600.0,3.14,-1.05,-140.0,0.0
2026-03-03,13255.0,13305.0,13335.0,13185.0,4236.0,899263680.0,1.13,0.34,45.0,0.0
2026-03-04,13305.0,13305.0,13375.0,13265.0,5147.0,1097827280.0,0.83,0.3,40.0,0.0
2026-03-05,13300.0,13490.0,13500.0,13295.0,6261.0,1346308960.0,1.54,1.2,160.0,0.0
2026-03-06,13450.0,13380.0,13530.0,13295.0,9979.0,2137145680.0,1.75,-0.41,-55.0,0.0
2026-03-09,13400.0,13400.0,13615.0,13345.0,11944.0,2573341440.0,2.02,0.11,15.0,0.0
2026-03-10,13375.0,13350.0,13405.0,13220.0,5296.0,1129207200.0,1.37,-0.85,-115.0,0.0
2026-03-11,13390.0,13345.0,13405.0,13290.0,4846.0,1034704960.0,0.86,0.15,20.0,0.0
2026-03-12,13345.0,13320.0,13405.0,13300.0,4409.0,942058080.0,0.79,-0.15,-20.0,0.0
2026-03-13,13350.0,13370.0,13400.0,13310.0,3781.0,808899440.0,0.67,0.15,20.0,0.0
2026-03-16,13370.0,13320.0,13385.0,13315.0,4275.0,912944320.0,0.52,-0.37,-50.0,0.0
2026-03-17,13330.0,13295.0,13350.0,13245.0,4507.0,959475440.0,0.79,-0.37,-50.0,0.0
2026-03-18,13280.0,12865.0,13325.0,12860.0,13838.0,2881187760.0,3.49,-3.31,-440.0,0.0
2026-03-19,12840.0,12710.0,12925.0,12570.0,12257.0,2497345040.0,2.73,-2.31,-300.0,0.0
2026-03-20,12730.0,12805.0,12935.0,12695.0,7693.0,1581990160.0,1.89,0.59,75.0,0.0
2026-03-23,12725.0,12725.0,12920.0,12610.0,11042.0,2257735600.0,2.41,-0.97,-125.0,0.0
2026-03-24,12735.0,12905.0,12905.0,12720.0,6722.0,1381952160.0,1.45,1.02,130.0,0.0
2026-03-25,12890.0,13010.0,13070.0,12885.0,10619.0,2209077840.0,1.44,1.28,165.0,0.0
2026-03-26,13000.0,12955.0,13050.0,12875.0,7643.0,1585745040.0,1.35,-0.35,-45.0,0.0
2026-03-27,12965.0,12905.0,12985.0,12765.0,10753.0,2217563760.0,1.7,-0.46,-60.0,0.0
2026-03-30,12885.0,12645.0,12935.0,12640.0,10972.0,2238953360.0,2.29,-1.86,-240.0,0.0
2026-03-31,12675.0,12180.0,12675.0,12170.0,20257.0,4010686640.0,3.96,-4.47,-570.0,0.0
2026-04-01,12185.0,12250.0,12345.0,12020.0,13806.0,2691251520.0,2.63,-0.97,-120.0,0.0
2026-04-02,12175.0,12190.0,12345.0,12175.0,8824.0,1728959920.0,1.4,0.08,10.0,0.0
2026-04-03,12210.0,12105.0,12265.0,12080.0,9550.0,1858304160.0,1.51,-1.14,-140.0,0.0
2026-04-07,12080.0,12025.0,12130.0,11850.0,18656.0,3578269440.0,2.3,-1.11,-135.0,0.0
2026-04-08,12010.0,12160.0,12280.0,12010.0,10647.0,2073240480.0,2.25,1.46,175.0,0.0
2026-04-09,12170.0,12205.0,12225.0,12055.0,10576.0,2057421760.0,1.4,0.29,35.0,0.0
2026-04-10,12205.0,12240.0,12375.0,12190.0,14521.0,2859931440.0,1.52,0.7,85.0,0.0
2026-04-13,12180.0,12270.0,12380.0,12100.0,15216.0,2991093840.0,2.28,-0.28,-35.0,0.0
2026-04-14,12300.0,12390.0,12470.0,12235.0,16344.0,3228794080.0,1.91,0.85,105.0,0.0
2026-04-15,12390.0,12570.0,12630.0,12345.0,22689.0,4531511552.0,2.31,1.82,225.0,0.0
2026-04-16,12500.0,12590.0,12625.0,12425.0,21523.0,4313404160.0,1.6,0.88,110.0,0.0
2026-04-17,12590.0,12580.0,12600.0,12460.0,16036.0,3218237040.0,1.12,0.44,55.0,0.0
2026-04-20,12655.0,12620.0,12785.0,12570.0,23185.0,4695259648.0,1.71,0.64,80.0,0.0
2026-04-21,12610.0,12470.0,12615.0,12470.0,12871.0,2583504240.0,1.15,-1.46,-185.0,0.0
2026-04-22,12485.0,12650.0,12680.0,12445.0,16434.0,3311584640.0,1.87,0.84,105.0,0.0
2026-04-23,12660.0,12735.0,12760.0,12645.0,12554.0,2553685120.0,0.91,1.15,145.0,0.0
2026-04-24,12765.0,12765.0,12820.0,12655.0,14716.0,2999263440.0,1.3,0.43,55.0,0.0
2026-04-27,12700.0,12725.0,12835.0,12660.0,13337.0,2723593600.0,1.37,-0.08,-10.0,0.0
2026-04-28,12740.0,12940.0,13055.0,12680.0,32262.0,6643708160.0,2.94,1.41,180.0,0.0
2026-04-29,12910.0,13035.0,13155.0,12910.0,32008.0,6688857600.0,1.9,1.28,165.0,0.0
2026-04-30,13100.0,13180.0,13400.0,12960.0,42132.0,8906182912.0,3.37,0.92,120.0,0.0
2026-05-06,13210.0,13080.0,13295.0,13025.0,26553.0,5580254208.0,2.04,-0.98,-130.0,0.0
2026-05-07,13100.0,12900.0,13100.0,12880.0,32818.0,6808415744.0,1.68,-1.75,-230.0,0.0
2026-05-08,12865.0,12785.0,12945.0,12770.0,26490.0,5446981376.0,1.35,-1.39,-180.0,0.0
2026-05-11,12830.0,12955.0,13005.0,12760.0,22990.0,4749477376.0,1.91,0.82,105.0,0.0
2026-05-12,12980.0,12745.0,12995.0,12715.0,23470.0,4826917376.0,2.17,-1.28,-165.0,0.0
2026-05-13,12730.0,12785.0,12885.0,12630.0,24088.0,4922095104.0,1.98,-0.51,-65.0,0.0
2026-05-14,12800.0,12765.0,12885.0,12730.0,19337.0,3962083200.0,1.21,-0.04,-5.0,0.0
2026-05-15,12800.0,12605.0,12800.0,12510.0,26153.0,5293690368.0,2.26,-1.56,-200.0,0.0
2026-05-18,12700.0,12610.0,12700.0,12565.0,13235.0,2674277200.0,1.07,-0.32,-40.0,0.0
2026-05-19,12660.0,12800.0,12860.0,12610.0,20676.0,4219005920.0,1.98,1.39,175.0,0.0
2026-05-20,12840.0,12810.0,12870.0,12740.0,16494.0,3379047680.0,1.02,0.47,60.0,0.0
2026-05-21,12820.0,12910.0,12930.0,12800.0,16727.0,3447483760.0,1.02,0.86,110.0,0.0
2026-05-22,12950.0,12985.0,13055.0,12915.0,19549.0,4064062480.0,1.09,0.82,105.0,0.0
2026-05-25,12980.0,12885.0,12990.0,12820.0,14401.0,2977661280.0,1.31,-0.81,-105.0,0.0
2026-05-26,12900.0,12785.0,12920.0,12765.0,18834.0,3869049520.0,1.2,-1.04,-135.0,0.0
2026-05-27,12785.0,12630.0,12820.0,12615.0,21726.0,4420667648.0,1.6,-1.6,-205.0,0.0
2026-05-28,12625.0,12630.0,12730.0,12555.0,18558.0,3757078320.0,1.38,-0.67,-85.0,0.0
2026-05-29,12610.0,12680.0,12695.0,12605.0,17227.0,3488087360.0,0.71,0.24,30.0,0.0
2026-06-01,12680.0,12745.0,12765.0,12640.0,17666.0,3594415280.0,0.99,0.75,95.0,0.0
2026-06-02,12745.0,12640.0,12760.0,12535.0,25569.0,5172529920.0,1.77,-0.59,-75.0,0.0
2026-06-03,12625.0,12810.0,12860.0,12550.0,35133.0,7146676480.0,2.45,1.34,170.0,0.0
2026-06-04,12805.0,12700.0,12845.0,12660.0,25994.0,5298853376.0,1.46,-0.08,-10.0,0.0
2026-06-05,12700.0,12635.0,12775.0,12625.0,28171.0,5719074048.0,1.18,-0.82,-105.0,0.0
2026-06-08,12635.0,12550.0,12650.0,12460.0,32722.0,6575470848.0,1.5,-1.06,-135.0,0.0
2026-06-09,12580.0,12660.0,12720.0,12560.0,26227.0,5302751488.0,1.27,0.84,105.0,0.0
2026-06-10,12695.0,12685.0,12810.0,12625.0,27589.0,5617170176.0,1.46,0.4,50.0,0.0
2026-06-11,12685.0,12630.0,12780.0,12595.0,26965.0,5467020288.0,1.45,-0.75,-95.0,0.0
2026-06-12,12640.0,12925.0,12980.0,12620.0,49012.0,10048501248.0,2.84,2.01,255.0,0.0
2026-06-15,13000.0,13120.0,13130.0,12925.0,65859.0,13734070528.0,1.6,2.42,310.0,0.0
2026-06-16,13100.0,12995.0,13110.0,12875.0,72480.0,15078107136.0,1.8,-0.27,-35.0,0.0
2026-06-17,12990.0,12815.0,13030.0,12785.0,65832.0,13602869760.0,1.88,-1.42,-185.0,0.0
2026-06-18,12810.0,12760.0,12830.0,12655.0,59782.0,12180310272.0,1.36,-1.16,-150.0,0.0
2026-06-22,12765.0,12800.0,12845.0,12670.0,53978.0,11024956928.0,1.37,0.55,70.0,0.0
2026-06-23,12825.0,12780.0,12915.0,12775.0,42904.0,8805473536.0,1.1,0.12,15.0,0.0
2026-06-24,12785.0,12965.0,13000.0,12775.0,51333.0,10612008704.0,1.75,1.09,140.0,0.0
2026-06-25,12935.0,12920.0,12960.0,12790.0,53134.0,10936941056.0,1.32,0.0,0.0,0.0
2026-06-26,12930.0,13005.0,13095.0,12905.0,63819.0,13290239744.0,1.48,1.13,145.0,0.0
2026-06-29,13100.0,13220.0,13250.0,13065.0,78636.0,16551805952.0,1.42,1.58,205.0,0.0
2026-06-30,13200.0,13055.0,13240.0,12975.0,59354.0,12445445120.0,2.01,-0.76,-100.0,0.0
2026-07-01,13010.0,13095.0,13210.0,12980.0,51385.0,10775570944.0,1.76,-0.08,-10.0,0.0
2026-07-02,13050.0,13105.0,13165.0,13030.0,34315.0,7193782784.0,1.03,0.0,0.0,0.0
2026-07-03,13110.0,13090.0,13150.0,13050.0,32440.0,6802155776.0,0.76,-0.08,-10.0,0.0
2026-07-06,13205.0,13055.0,13305.0,13050.0,71430.0,15029002752.0,1.95,-0.38,-50.0,0.0
2026-07-07,13080.0,12860.0,13100.0,12860.0,63569.0,13196397568.0,1.83,-2.21,-290.0,0.0
2026-07-08,12830.0,12885.0,12960.0,12815.0,29975.0,6187308800.0,1.12,-0.66,-85.0,0.0
2026-07-09,12890.0,12850.0,12965.0,12740.0,54161.0,11148119808.0,1.74,-0.39,-50.0,0.0
2026-07-10,12850.0,12965.0,13010.0,12850.0,41081.0,8503786752.0,1.24,0.82,105.0,0.0
2026-07-13,12900.0,12730.0,12900.0,12700.0,52456.0,10735525120.0,1.55,-1.58,-205.0,0.0
2026-07-14,12730.0,12840.0,12875.0,12670.0,50678.0,10376412928.0,1.6,0.39,50.0,0.0
2026-07-15,12820.0,12790.0,12860.0,12750.0,34346.0,7030286336.0,0.86,-0.04,-5.0,0.0
2026-07-16,12855.0,12730.0,12890.0,12705.0,36217.0,7406817536.0,1.45,-0.47,-60.0,0.0
2026-07-17,12775.0,12610.0,12775.0,12580.0,43245.0,8755122944.0,1.53,-1.33,-170.0,0.0
2026-07-20,12590.0,12350.0,12590.0,12330.0,62190.0,12409412352.0,2.06,-2.37,-300.0,0.0
2026-07-21,12350.0,12410.0,12435.0,12260.0,56209.0,11106992896.0,1.4,-0.48,-60.0,0.0
2026-07-22,12380.0,12325.0,12460.0,12320.0,36394.0,7211121152.0,1.13,-0.2,-25.0,0.0
2026-07-23,12320.0,12325.0,12410.0,12225.0,53575.0,10555640832.0,1.49,-0.44,-55.0,0.0
2026-07-24,12320.0,12050.0,12355.0,12015.0,68589.0,13355249152.0,2.76,-2.11,-260.0,0.0
2026-07-27,12045.0,12215.0,12250.0,12020.0,52898.0,10303723008.0,1.89,0.41,50.0,0.0
2026-07-28,12175.0,12065.0,12190.0,12020.0,55433.0,10725659392.0,1.4,-0.86,-105.0,0.0
2026-07-29,12060.0,12115.0,12150.0,11880.0,77042.0,14796737536.0,2.23,0.21,25.0,0.0
2026-07-30,12105.0,11960.0,12105.0,11895.0,77380.0,14839892992.0,1.75,-0.33,-40.0,0.0
2026-07-31,12020.0,11810.0,12030.0,11805.0,75791.0,14426785024.0,1.88,-1.46,-175.0,0.0
2026-08-03,11810.0,11600.0,11845.0,11600.0,90941.0,16993141248.0,2.06,-2.48,-295.0,0.0
2026-08-04,11555.0,11820.0,11875.0,11530.0,144689.0,27160111616.0,2.96,1.24,145.0,0.0
2026-08-05,11790.0,11910.0,11970.0,11750.0,124122.0,23566802432.0,1.88,1.53,180.0,0.0
2026-08-06,11880.0,12085.0,12145.0,11820.0,179613.0,34494652416.0,2.74,1.85,220.0,0.0
2026-08-07,12140.0,12035.0,12180.0,11955.0,172866.0,33360923648.0,1.88,0.29,35.0,0.0
2026-08-10,12000.0,12170.0,12200.0,12000.0,136090.0,26398489344.0,1.66,0.91,110.0,0.0
2026-08-11,0.0,12130.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0
