source,source_url,source_update,exchange,variety,contract,symbol,margin_per_lot,margin_rate,note,is_new_contract
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,豆一,a2611,A,5534.1,11%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,铸造铝,ad2610,AD,34492.5,15%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,沪银,ag2610,AG,80846.4,32%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,沪铝,al2610,AL,20200.3,17%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,氧化铝,ao2610,AO,8608.0,16%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,苹果,AP610,AP,11233.5,15%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,沪金,au2610,AU,221500.4,22%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,豆二,b2611,B,4400.0,11%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,胶合板,bb2611,BB,59500.0,80%,该品种极不活跃，请注意控制风险,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期能源,国际铜,bc2609,BC,82084.5,17%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,丁二烯胶,br2610,BR,13248.0,18%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,沥青,bu2610,BU,9996.8,22%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,纯苯,bz2610,BZ,41002.2,18%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,玉米,c2611,C,2508.0,11%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,棉花,CF701,CF,10221.0,12%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,红枣,CJ701,CJ,5771.5,14%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,淀粉,cs2611,CS,2831.4,11%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,沪铜,cu2609,CU,91893.5,17%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,棉纱,CY611,CY,11535.0,10%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,苯乙烯,eb2610,EB,8760.0,20%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期能源,欧线集运,ec2610,EC,34693.8,35%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,乙二醇,eg2610,EG,10808.0,20%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,纤维板,fb2611,FB,10196.0,80%,该品种极不活跃，请注意控制风险,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,玻璃,FG701,FG,3503.6,19%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,燃油,fu2611,FU,9955.4,26%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,热卷,hc2610,HC,4008.0,12%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,铁矿石,i2701,I,12888.0,18%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,中金所,中证500股指,IC2609,IC,228852.0,15%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,中金所,沪深,IF2609,IF,203688.0,15%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,中金所,上证,IH2609,IH,128295.0,15%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,中金所,中证1000股指,IM2609,IM,222774.0,15%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,焦炭,j2701,J,53812.5,25%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,鸡蛋,jd2610,JD,4923.1,13%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,焦煤,jm2701,JM,23760.0,25%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,粳稻,JR701,JR,42592.0,80%,该品种极不活跃，请注意控制风险,False
