report_date,source_date,symbol,contract,days,implied_vol,realized_vol,skew,iv_percentile,skew_percentile,status,source
20260828,2026-08-28,LC,LC2610,10,40.48,40.43,2.67,31,45,OK,OpenVLab截图
20260828,2026-08-28,AG,AG2610,26,50.40,37.56,3.76,57,92,OK,OpenVLab截图
20260828,2026-08-28,JM,JM2610,19,54.13,33.58,-0.78,94,4,OK,OpenVLab截图
20260828,2026-08-28,SA,SA2610,14,27.15,25.23,2.53,69,76,OK,OpenVLab截图
20260828,2026-08-28,AP,AP2701,90,21.25,13.40,0.18,27,63,OK,OpenVLab截图
20260828,2026-08-28,BU,BU2610,26,33.02,21.33,-1.77,80,8,OK,OpenVLab截图
20260828,2026-08-28,V,V2610,19,17.83,15.26,0.68,36,21,OK,OpenVLab截图
20260828,2026-08-28,MA,MA2610,14,34.33,30.46,-0.92,75,3,OK,OpenVLab截图
20260828,2026-08-28,PX,PX2611,31,28.19,29.90,0.33,60,24,OK,OpenVLab截图
20260828,2026-08-28,L,L2610,19,20.81,19.54,-1.13,53,1,OK,OpenVLab截图
20260828,2026-08-28,TA,TA2610,14,26.18,27.76,0.03,43,21,OK,OpenVLab截图
20260828,2026-08-28,LH,LH2611,56,22.22,17.35,1.10,52,43,OK,OpenVLab截图
20260828,2026-08-28,PR,PR2610,14,25.51,27.69,-0.21,67,8,OK,OpenVLab截图
20260828,2026-08-28,PP,PP2610,19,24.00,24.29,0.01,62,26,OK,OpenVLab截图
20260828,2026-08-28,BZ,BZ2610,19,31.21,33.62,0.18,72,21,OK,OpenVLab截图
20260828,2026-08-28,ZN,ZN2610,26,17.75,15.25,0.84,87,67,OK,OpenVLab截图
20260828,2026-08-28,AO,AO2610,26,15.42,12.61,1.77,0,46,OK,OpenVLab截图
20260828,2026-08-28,Y,Y2611,56,15.64,8.55,1.83,90,93,OK,OpenVLab截图
20260828,2026-08-28,EB,EB2610,19,28.95,28.60,-0.33,62,10,OK,OpenVLab截图
20260828,2026-08-28,NR,NR2610,26,23.66,17.11,2.96,53,100,OK,OpenVLab截图
20260828,2026-08-28,FG,FG2610,14,21.84,19.84,1.03,16,10,OK,OpenVLab截图
20260828,2026-08-28,CF,CF2611,46,15.26,9.32,1.75,79,67,OK,OpenVLab截图
20260828,2026-08-28,SN,SN2610,26,23.55,18.00,1.24,26,42,OK,OpenVLab截图
20260828,2026-08-28,I,I2610,19,17.10,17.96,-0.64,36,24,OK,OpenVLab截图
20260828,2026-08-28,CJ,CJ2701,90,20.83,20.24,2.01,47,66,OK,OpenVLab截图
20260828,2026-08-28,BR,BR2610,26,33.92,30.40,-0.24,72,12,OK,OpenVLab截图
20260828,2026-08-28,PB,PB2610,26,11.72,11.73,-0.15,39,21,OK,OpenVLab截图
20260828,2026-08-28,P,P2610,19,16.36,11.22,1.29,17,72,OK,OpenVLab截图
20260828,2026-08-28,SR,SR2611,46,12.99,8.14,1.51,94,90,OK,OpenVLab截图
20260828,2026-08-28,RB,RB2610,26,11.04,8.60,1.70,34,89,OK,OpenVLab截图
20260828,2026-08-28,RU,RU2701,119,19.74,14.67,1.29,43,53,OK,OpenVLab截图
20260828,2026-08-28,BC,BC2610,26,14.39,13.68,0.91,7,81,OK,OpenVLab截图
20260828,2026-08-28,PK,PK2610,14,9.70,5.64,0.87,30,46,OK,OpenVLab截图
20260828,2026-08-28,SF,SF2610,14,17.70,18.01,0.24,57,4,OK,OpenVLab截图
20260828,2026-08-28,SH,SH2610,14,18.24,14.90,1.25,0,37,OK,OpenVLab截图
20260828,2026-08-28,JD,JD2610,19,21.17,22.99,0.19,39,58,OK,OpenVLab截图
20260828,2026-08-28,CU,CU2610,26,13.74,11.34,1.68,14,56,OK,OpenVLab截图
20260828,2026-08-28,EG,EG2610,19,40.80,41.68,0.89,87,57,OK,OpenVLab截图
20260828,2026-08-28,AL,AL2610,26,10.62,8.99,0.87,13,53,OK,OpenVLab截图
20260828,2026-08-28,AU,AU2610,26,25.57,19.85,2.14,66,85,OK,OpenVLab截图
20260828,2026-08-28,OI,OI2611,46,18.25,16.04,1.89,82,93,OK,OpenVLab截图
20260828,2026-08-28,UR,UR2610,14,14.96,20.77,1.30,26,35,OK,OpenVLab截图
20260828,2026-08-28,PG,PG2610,19,32.59,32.44,0.11,56,28,OK,OpenVLab截图
20260828,2026-08-28,IH,IH2609,21,13.73,11.74,0.06,14,47,OK,OpenVLab截图
20260828,2026-08-28,SM,SM2610,14,11.77,9.05,0.39,10,12,OK,OpenVLab截图
20260828,2026-08-28,B,B2610,19,16.95,12.19,0.31,91,20,OK,OpenVLab截图
20260828,2026-08-28,FU,FU2610,19,54.10,49.92,-0.74,71,10,OK,OpenVLab截图
20260828,2026-08-28,IF,IF2609,21,16.72,14.47,-0.64,42,16,OK,OpenVLab截图
20260828,2026-08-28,SP,SP2611,59,16.75,15.11,1.48,68,40,OK,OpenVLab截图
20260828,2026-08-28,IM,IM2609,21,26.37,29.10,-0.70,68,43,OK,OpenVLab截图
20260828,2026-08-28,NI,NI2610,26,16.81,17.97,1.42,21,43,OK,OpenVLab截图
20260828,2026-08-28,SI,SI2610,10,19.12,14.13,0.94,26,18,OK,OpenVLab截图
20260828,2026-08-28,C,C2611,56,9.82,9.92,0.58,41,70,OK,OpenVLab截图
20260828,2026-08-28,RM,RM2611,46,21.80,18.82,1.47,81,57,OK,OpenVLab截图
20260828,2026-08-28,PS,PS2610,10,36.92,38.90,2.69,36,66,OK,OpenVLab截图
20260828,2026-08-28,A,A2611,56,14.41,14.65,1.70,69,80,OK,OpenVLab截图
20260828,2026-08-28,M,M2611,56,17.82,13.01,0.74,92,19,OK,OpenVLab截图
20260828,2026-08-28,IC,5105002609,26,25.59,28.70,-1.09,63,17,OK,OpenVLab截图映射中证500ETF
