symbol,contract,broker,long_pos,long_chg,short_pos,short_chg,net_pos,flow_score,add_long,reduce_long,add_short,reduce_short
NR,nr2610,国泰君安,4179,313,7910,348,-3731,-35,313,0,348,0
NR,nr2610,摩根大通,4152,47,1030,176,3122,-129,47,0,176,0
NR,nr2610,东证期货,3456,-136,3416,77,40,-213,0,136,77,0
NR,nr2610,中信期货,2945,-50,4249,186,-1304,-236,0,50,186,0
NR,nr2610,瑞银期货,2369,426,0,0,2369,426,426,0,0,0
NR,nr2610,高盛期货,2173,-525,0,0,2173,-525,0,525,0,0
NR,nr2610,永安期货,2029,194,620,-408,1409,602,194,0,0,408
NR,nr2610,广发期货,1597,-22,1092,78,505,-100,0,22,78,0
NR,nr2610,东吴期货,1223,159,0,0,1223,159,159,0,0,0
NR,nr2610,正信期货,1207,6,0,0,1207,6,6,0,0,0
NR,nr2610,银河期货,1137,61,3486,154,-2349,-93,61,0,154,0
NR,nr2610,五矿期货,1039,-4,0,0,1039,-4,0,4,0,0
NR,nr2610,华泰期货,964,96,1998,36,-1034,60,96,0,36,0
NR,nr2610,一德期货,760,-1,0,0,760,-1,0,1,0,0
NR,nr2610,中金财富,745,-308,0,0,745,-308,0,308,0,0
NR,nr2610,中信建投,648,-43,0,0,648,-43,0,43,0,0
NR,nr2610,国信期货,635,85,0,0,635,85,85,0,0,0
NR,nr2610,新湖期货,615,67,941,11,-326,56,67,0,11,0
NR,nr2610,宝城期货,611,89,606,-62,5,151,89,0,0,62
NR,nr2610,平安期货,569,-71,0,0,569,-71,0,71,0,0
NR,nr2610,浙商期货,0,0,2266,45,-2266,-45,0,0,45,0
NR,nr2610,南华期货,0,0,2112,-18,-2112,18,0,0,0,18
NR,nr2610,中银期货,0,0,1707,196,-1707,-196,0,0,196,0
NR,nr2610,物产中大,0,0,1631,-5,-1631,5,0,0,0,5
NR,nr2610,大地期货,0,0,1509,3,-1509,-3,0,0,3,0
NR,nr2610,中泰期货,0,0,1297,-4,-1297,4,0,0,0,4
NR,nr2610,海证期货,0,0,759,140,-759,-140,0,0,140,0
NR,nr2610,瑞达期货,0,0,679,4,-679,-4,0,0,4,0
NR,nr2610,中粮期货,0,0,630,16,-630,-16,0,0,16,0
NR,nr2610,海通期货,0,0,549,193,-549,-193,0,0,193,0
PP,pp2609,国泰君安,68331,4076,45512,-266,22819,4342,4076,0,0,266
PP,pp2609,中信期货,39925,749,32213,-778,7712,1527,749,0,0,778
PP,pp2609,东证期货,39310,-6807,19178,2570,20132,-9377,0,6807,2570,0
PP,pp2609,永安期货,28708,-735,20186,-800,8522,65,0,735,0,800
PP,pp2609,华泰期货,16224,-350,21810,733,-5586,-1083,0,350,733,0
PP,pp2609,浙商期货,10543,2089,11236,-1140,-693,3229,2089,0,0,1140
PP,pp2609,中金财富,8668,-803,0,0,8668,-803,0,803,0,0
PP,pp2609,广发期货,7405,-920,14361,-2974,-6956,2054,0,920,0,2974
PP,pp2609,银河期货,7316,-1641,15523,-182,-8207,-1459,0,1641,0,182
