symbol,variety,contract,market,source_date,open,high,low,close,change_pct,change_amount,volume,turnover,amplitude_pct,source,source_url,validation_status,sina_close,quhe_code,status
AG,沪银,agm,,2026-08-20,15850.0,16444.0,15780.0,16361.0,4.717102,737.0,759355.0,183508010000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,16361.0,JO_165757,OK
AU,沪金,aum,,2026-08-20,965.0,976.26,960.1,972.94,2.494574,23.679993,363693.0,352649770000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,972.94,JO_165732,OK
NI,沪镍,nim,,2026-08-20,129020.0,130660.0,128820.0,129190.0,0.89815676,1150.0,198463.0,25747522000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,129190.0,JO_165590,OK
CU,沪铜,cu2609,,2026-08-20,107020.000,107390.000,106980.000,107200.0,0.2056459151243306,220.0,67532,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_REALTIME,107200.0,,OK
EG,乙二醇,egm,,2026-08-20,5280.0,5485.0,5258.0,5322.0,1.506771,79.0,767945.0,41103303000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,5322.0,JO_233664,OK
HC,热卷,hcm,,2026-08-20,3287.0,3300.0,3281.0,3291.0,0.030395135,1.0,315891.0,10392806000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,3291.0,JO_165719,OK
SS,不锈钢,ssm,,2026-08-20,14320.0,14445.0,14285.0,14300.0,0.14005603,20.0,193239.0,13885423000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,14300.0,JO_233721,OK
PX,对二甲苯,PXm,,2026-08-20,8260.0,8276.0,8144.0,8264.0,-0.7923169,-66.0,321286.0,2636472800.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8264.0,JO_336625,OK
BC,国际铜,bcm,,2026-08-20,94840.0,95750.0,94830.0,95370.0,0.3050063,290.0,8583.0,4090757400.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,95370.0,JO_291808,OK
V,PVC,vm,,2026-08-20,4738.0,4759.0,4683.0,4710.0,-0.8212255,-39.0,839057.0,19797627000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,4561.0,JO_165822,OK
PF,短纤,PFm,,2026-08-20,7638.0,7650.0,7540.0,7590.0,-0.8361641,-64.0,157366.0,1195666800.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,7590.0,JO_291841,OK
A,豆一,am,,2026-08-20,5076.0,5141.0,5051.0,5130.0,0.8452919,43.0,357432.0,18190629000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,5130.0,JO_165900,OK
PB,沪铅,pbm,,2026-08-20,15910.0,16005.0,15870.0,15935.0,-0.03136763,-5.0,54878.0,4374095400.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,15925.0,JO_165616,OK
P,棕榈油,pm,,2026-08-20,9989.0,10180.0,9986.0,10160.0,1.9057171,190.0,576523.0,58126078000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,10160.0,JO_165964,OK
FG,玻璃,FGm,,2026-08-20,903.0,926.0,897.0,917.0,0.5482456,5.0,1671294.0,1530905300.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,873.0,JO_166080,OK
RU,天然橡胶,rum,,2026-08-20,18215.0,18555.0,18185.0,18460.0,1.6240021,295.0,246006.0,45148967000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,18460.0,JO_165668,OK
C,玉米,cm,,2026-08-20,2265.0,2269.0,2256.0,2263.0,0.5330964,12.0,654758.0,14810188000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,2263.0,JO_165796,OK
LH,生猪,lhm,,2026-08-20,12320.0,12345.0,12120.0,12315.0,-0.20259318,-25.0,197761.0,38672240000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,12315.0,JO_291821,OK
FU,燃料油,fum,,2026-08-20,4237.0,4386.0,4150.0,4258.0,1.0681225,45.0,494492.0,21054681000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,4258.0,JO_165770,OK
AO,氧化铝,aom,,2026-08-20,2668.0,2687.0,2650.0,2663.0,-0.33682632,-9.0,229336.0,12233744000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,2663.0,JO_335884,OK
J,焦炭,jm,,2026-08-20,2058.0,2096.0,2052.0,2072.5,1.1962891,24.5,45302.0,9403486000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,2043.0,JO_166003,OK
UR,尿素,URm,,2026-08-20,1746.0,1764.0,1746.0,1759.0,0.8022923,14.0,159129.0,279271400.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,1733.0,JO_233760,OK
NR,20号胶,nrm,,2026-08-20,15160.0,15535.0,15140.0,15450.0,2.2501655,340.0,68070.0,10434310000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,15450.0,JO_233734,OK
AP,苹果,APm,,2026-08-20,7793.0,7832.0,7725.0,7755.0,-0.7423525,-58.0,77223.0,600408800.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,7755.0,JO_166249,OK
L,塑料,lm,,2026-08-20,7831.0,7860.0,7732.0,7794.0,-0.4978935,-39.0,403557.0,15749941000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,8078.0,JO_165809,OK
