report_date,source_date,symbol,variety,contract,close,change_pct,turnover,volume,open_interest,open_interest_change,open_interest_change_pct,capital_flow,status,source
20260821,2026-08-21,LC,碳酸锂,lc2701,158680,4.12,,,353400,31875,9.91,2146000000,OK,同花顺期货通截图
20260821,2026-08-21,AG,沪银,ag2610,16771,4.10,,,306800,4403,1.46,1306000000,OK,同花顺期货通截图
20260821,2026-08-21,SP,纸浆,sp2611,4892,3.42,,,260900,-14042,-5.11,-60758100,OK,同花顺期货通截图
20260821,2026-08-21,MA,甲醇,MA2610,2909,2.83,,,873700,5954,0.69,112000000,OK,同花顺期货通截图
20260821,2026-08-21,PG,LPG,pg2610,5799,2.56,,,103600,1791,1.76,96334300,OK,同花顺期货通截图
20260821,2026-08-21,J,焦炭,j2701,2119.5,2.12,,,59000,6539,12.47,392000000,OK,同花顺期货通截图
20260821,2026-08-21,EG,乙二醇,eg2610,5202,2.02,,,273000,45747,20.13,375000000,OK,同花顺期货通截图
20260821,2026-08-21,FU,燃油,fu2611,3845,1.99,,,285600,22573,8.58,333000000,OK,同花顺期货通截图
20260821,2026-08-21,AU,沪金,au2610,987.44,1.84,,,210600,2660,1.28,1805000000,OK,同花顺期货通截图
20260821,2026-08-21,BU,沥青,bu2610,4508,1.74,,,334600,-2643,-0.78,-9977800,OK,同花顺期货通截图
20260821,2026-08-21,PP,聚丙烯,pp2701,8121,1.61,,,520600,30783,6.28,219000000,OK,同花顺期货通截图
20260821,2026-08-21,BZ,纯苯,bz2610,7638,1.52,,,25600,2020,8.55,70557100,OK,同花顺期货通截图
20260821,2026-08-21,LU,低硫油,lu2610,5049,1.47,,,82600,-218,-0.26,10785300,OK,同花顺期货通截图
20260821,2026-08-21,EB,苯乙烯,eb2610,8768,1.35,,,321800,4783,1.51,43781400,OK,同花顺期货通截图
20260821,2026-08-21,PS,多晶硅,ps2611,38430,1.29,,,110300,943,0.86,24428700,OK,同花顺期货通截图
20260821,2026-08-21,ZN,沪锌,zn2610,25710,1.26,,,138700,431,0.31,66940500,OK,同花顺期货通截图
20260821,2026-08-21,PB,沪铅,pb2610,16130,1.19,,,77200,-2334,-2.93,-24341800,OK,同花顺期货通截图
20260821,2026-08-21,AO,氧化铝,ao2610,2698,1.16,,,284900,-26473,-8.50,-266000000,OK,同花顺期货通截图
20260821,2026-08-21,NR,20号胶,nr2610,15490,1.08,,,58300,-264,-0.45,-3147300,OK,同花顺期货通截图
20260821,2026-08-21,SF,硅铁,SF2611,6022,0.87,,,470700,20660,4.59,105000000,OK,同花顺期货通截图
20260821,2026-08-21,UR,尿素,UR2701,1770,0.85,,,238300,8330,3.62,55277400,OK,同花顺期货通截图
20260821,2026-08-21,SN,沪锡,sn2609,428570,0.83,,,29900,-928,-3.01,-91331200,OK,同花顺期货通截图
20260821,2026-08-21,RU,橡胶,ru2701,18500,0.82,,,145200,2657,1.86,98741600,OK,同花顺期货通截图
20260821,2026-08-21,P,棕榈油,p2701,10160,0.77,,,566900,-10793,-1.87,-175000000,OK,同花顺期货通截图
20260821,2026-08-21,L,塑料,l2701,7864,0.76,,,381900,18906,5.21,122000000,OK,同花顺期货通截图
20260821,2026-08-21,BC,国际铜,bc2609,96020,0.73,,,11000,-669,-5.74,-62326400,OK,同花顺期货通截图
20260821,2026-08-21,BR,合成橡胶,br2610,14625,0.69,,,113100,-3071,-2.64,-31597000,OK,同花顺期货通截图
20260821,2026-08-21,PF,短纤,PF2610,7650,0.68,,,196600,-3945,-1.97,-12702900,OK,同花顺期货通截图
20260821,2026-08-21,SM,锰硅,SM2611,5964,0.64,,,419500,3225,0.77,23371900,OK,同花顺期货通截图
20260821,2026-08-21,SA,纯碱,SA2701,1039,0.58,,,1044400,38247,3.80,146000000,OK,同花顺期货通截图
20260821,2026-08-21,PX,对二甲苯,PX2611,8252,0.56,,,162200,4572,2.90,25085300,OK,同花顺期货通截图
20260821,2026-08-21,CU,沪铜,cu2609,107750,0.53,,,150300,-12565,-7.71,-1391000000,OK,同花顺期货通截图
20260821,2026-08-21,PR,瓶片,PR2611,7386,0.52,,,51200,7293,16.59,115000000,OK,同花顺期货通截图
20260821,2026-08-21,RB,螺纹钢,rb2610,3039,0.46,,,1748800,-127802,-6.81,-525000000,OK,同花顺期货通截图
20260821,2026-08-21,AL,沪铝,al2610,23710,0.34,,,267400,-2599,-0.96,-33624800,OK,同花顺期货通截图
20260821,2026-08-21,TA,PTA,TA2701,5732,0.32,,,856700,28749,3.47,111000000,OK,同花顺期货通截图
20260821,2026-08-21,CF,棉花,CF2701,17065,0.26,,,559900,671,0.12,19758200,OK,同花顺期货通截图
20260821,2026-08-21,LH,生猪,lh2611,12250,0.25,,,194900,-5942,-2.96,-220000000,OK,同花顺期货通截图
20260821,2026-08-21,I,铁矿石,i2701,707.5,0.21,,,549700,12124,2.26,195000000,OK,同花顺期货通截图
20260821,2026-08-21,HC,热卷,hc2610,3295,0.18,,,1106000,-42321,-3.69,-189000000,OK,同花顺期货通截图
20260821,2026-08-21,SI,工业硅,si2611,8790,0.17,,,304500,-1387,-0.45,-1486000,OK,同花顺期货通截图
20260821,2026-08-21,Y,豆油,y2701,8824,0.17,,,722900,-35,-0.00,-23711600,OK,同花顺期货通截图
20260821,2026-08-21,C,玉米,c2611,2264,0.13,,,1034100,24506,2.43,79087600,OK,同花顺期货通截图
20260821,2026-08-21,SH,烧碱,SH2611,1920,0.10,,,242300,4096,1.72,42322300,OK,同花顺期货通截图
20260821,2026-08-21,SR,白糖,SR2701,5383,0.09,,,608800,7881,1.31,41533800,OK,同花顺期货通截图
20260821,2026-08-21,JM,焦煤,jm2701,1581.5,-0.13,,,473600,-20711,-4.19,-543000000,OK,同花顺期货通截图
20260821,2026-08-21,JD,鸡蛋,jd2610,3834,-0.36,,,276800,3899,1.43,3354900,OK,同花顺期货通截图
20260821,2026-08-21,PK,花生,PK2611,8138,-0.51,,,236500,12030,5.36,64445100,OK,同花顺期货通截图
20260821,2026-08-21,NI,沪镍,ni2609,128940,-0.61,,,91600,-8390,-8.39,-266000000,OK,同花顺期货通截图
20260821,2026-08-21,B,豆二,b2611,4023,-0.79,,,226800,-8485,-3.61,-60308800,OK,同花顺期货通截图
20260821,2026-08-21,V,PVC,v2701,4679,-0.85,,,921500,66559,7.79,199000000,OK,同花顺期货通截图
20260821,2026-08-21,FG,玻璃,FG2701,907,-0.98,,,1601200,148375,10.21,432000000,OK,同花顺期货通截图
20260821,2026-08-21,M,豆粕,m2701,3228,-1.10,,,2467300,-64701,-2.56,-431000000,OK,同花顺期货通截图
20260821,2026-08-21,SS,不锈钢,ss2610,14200,-1.18,,,116600,5833,5.27,50227800,OK,同花顺期货通截图
20260821,2026-08-21,CJ,红枣,CJ2701,8145,-1.21,,,173100,11089,6.84,64479600,OK,同花顺期货通截图
20260821,2026-08-21,A,豆一,a2611,5022,-1.32,,,391500,-25184,-6.04,-240000000,OK,同花顺期货通截图
20260821,2026-08-21,AP,苹果,AP2610,7666,-1.40,,,104400,-8241,-7.31,-132000000,OK,同花顺期货通截图
20260821,2026-08-21,OI,菜油,OI2611,10490,-1.55,,,344500,-20278,-5.56,-396000000,OK,同花顺期货通截图
20260821,2026-08-21,RM,菜粕,RM2611,2238,-1.71,,,651300,10483,1.64,-6626800,OK,同花顺期货通截图
