report_date,source_date,symbol,variety,contract,close,change_pct,return_10d,return_20d,return_30d,monthly_return,turnover,volume,open_interest,open_interest_change,open_interest_change_pct,capital_flow,status,source
20260826,2026-08-26,RM,菜粕,RM2611,2314,3.49,,,5.42,4.42,,,,33650,5.28,172000000,OK,同花顺期货通截图
20260826,2026-08-26,M,豆粕,m2701,3297,2.14,,,5.27,5.30,,,,162991,6.47,936000000,OK,同花顺期货通截图
20260826,2026-08-26,B,豆二,b2611,4055,1.83,,,5.30,6.49,,,,3254,1.53,34231500,OK,同花顺期货通截图
20260826,2026-08-26,IH,上证50,IH2609,2888.8,1.14,,,-0.86,-1.45,,,,237,0.33,226000000,OK,同花顺期货通截图
20260826,2026-08-26,IF,沪深300,IF2609,4566.8,0.98,,,-3.19,-0.49,,,,-3845,-2.48,-763000000,OK,同花顺期货通截图
20260826,2026-08-26,IC,中证500,IC2609,7708.8,0.92,,,-4.20,3.23,,,,-4702,-2.80,-1162000000,OK,同花顺期货通截图
20260826,2026-08-26,JD,鸡蛋,jd2610,3775,0.77,,,-9.21,-0.03,,,,-11168,-4.14,-54116500,OK,同花顺期货通截图
20260826,2026-08-26,ZN,沪锌,zn2610,26240,0.71,,,5.64,5.19,,,,9148,6.01,293000000,OK,同花顺期货通截图
20260826,2026-08-26,CU,沪铜,cu2610,108750,0.55,,,4.59,3.28,,,,17156,8.39,2225000000,OK,同花顺期货通截图
20260826,2026-08-26,SS,不锈钢,ss2610,14225,0.53,,,-1.45,-2.77,,,,-14463,-12.04,-132000000,OK,同花顺期货通截图
20260826,2026-08-26,I,铁矿石,i2701,720.0,0.49,,,-3.74,1.77,,,,7268,1.31,194000000,OK,同花顺期货通截图
20260826,2026-08-26,SI,工业硅,si2611,8775,0.46,,,3.30,6.49,,,,4539,1.49,39829700,OK,同花顺期货通截图
20260826,2026-08-26,PS,多晶硅,ps2611,37645,0.44,,,5.74,11.85,,,,68,0.06,45426800,OK,同花顺期货通截图
20260826,2026-08-26,SM,锰硅,SM2611,5980,0.44,,,0.84,4.27,,,,7007,1.75,32694000,OK,同花顺期货通截图
20260826,2026-08-26,A,豆一,a2611,5013,0.38,,,5.76,5.85,,,,9844,2.72,82237500,OK,同花顺期货通截图
20260826,2026-08-26,BC,国际铜,bc2609,97230,0.36,,,5.26,3.51,,,,-4537,-52.60,-480000000,OK,同花顺期货通截图
20260826,2026-08-26,C,玉米,c2611,2281,0.31,,,0.44,2.61,,,,41508,3.70,140000000,OK,同花顺期货通截图
20260826,2026-08-26,IM,中证1000,IM2609,7491.8,0.23,,,-3.00,6.84,,,,-11152,-4.37,-3699000000,OK,同花顺期货通截图
20260826,2026-08-26,PB,沪铅,pb2610,16120,0.22,,,3.37,3.47,,,,-2267,-3.03,-41020900,OK,同花顺期货通截图
20260826,2026-08-26,RB,螺纹钢,rb2610,3076,0.20,,,-1.25,2.40,,,,-114928,-7.66,-484000000,OK,同花顺期货通截图
20260826,2026-08-26,Y,豆油,y2701,8765,0.19,,,2.08,4.27,,,,1355,0.19,17622500,OK,同花顺期货通截图
20260826,2026-08-26,AG,沪银,ag2610,16756,-0.11,,,17.56,17.47,,,,-12263,-4.34,-1123000000,OK,同花顺期货通截图
