snapshot_date,symbol,variety,report_scope,asset,temperature,strength,trend_rank,source,note,tm_id,ticker_symbol,latest_price,is_trend_right_side,days_since_trend_entry,trend_phase_curr,trend_temperature_prev,trend_strength_local_change,return_1d,api_update_dt
2026-07-15,FU,燃油,commodity,商品期货,平,92.2,,trend_animal_api,API direct fact,300156,FU,3845.0,False,,,平,,0.0213,2026-07-15 17:25:01
2026-07-15,EB,苯乙烯,commodity,商品期货,平,96.1,,trend_animal_api,API direct fact,308526,EB,8804.0,False,,,平,,0.0089,2026-07-15 17:25:01
2026-07-15,LC,碳酸锂,commodity,商品期货,寒,14.3,,trend_animal_api,API direct fact,308564,lc,144580.0,False,-1.0,立冬,凉,,-0.0269,2026-07-15 17:25:01
2026-07-15,M,豆粕,commodity,商品期货,热,98.7,,trend_animal_api,API direct fact,308534,M,3126.0,True,1.0,立夏,温,,0.0049,2026-07-15 17:25:01
2026-07-15,JM,焦煤,commodity,商品期货,平,36.4,,trend_animal_api,API direct fact,308549,JM,1030.0,False,,,平,,0.0103,2026-07-15 17:25:01
2026-07-15,JD,鸡蛋,commodity,商品期货,温,77.9,,trend_animal_api,API direct fact,308545,JD,3340.0,False,,,平,,0.0162,2026-07-15 17:25:01
2026-07-15,AU,黄金,commodity,商品期货,凉,16.0,,trend_animal_api,API direct fact,700066,AU2706,890.0,False,-21.0,寒露,凉,,-0.0003,2026-07-15 17:25:01
2026-07-15,AG,白银,commodity,商品期货,凉,19.9,,trend_animal_api,API direct fact,704574,AG2706,14389.0,False,,,凉,,0.0021,2026-07-15 17:25:01
2026-07-15,LH,生猪,commodity,商品期货,凉,23.4,,trend_animal_api,API direct fact,308562,LH,9530.0,False,,,凉,,-0.0045,2026-07-15 17:25:01
2026-07-15,IH,上证50,stock_index,ETF基金,温,73.5,,trend_animal_api,API direct fact,328631,510190,4.369,False,,,温,,0.0041,2026-07-15 17:25:01
