snapshot_date,symbol,variety,report_scope,asset,temperature,strength,trend_rank,source,note,tm_id,ticker_symbol,is_trend_right_side,days_since_trend_entry,trend_phase_curr,trend_temperature_prev,trend_strength_local_change,return_1d,api_update_dt
2026-08-07,FU,燃油,commodity,商品期货,平,60.5,,trend_animal_api,API direct fact,300156,FU,False,,,平,,0.0225,2026-08-07 17:15:01
2026-08-07,EB,苯乙烯,commodity,商品期货,平,63.2,,trend_animal_api,API direct fact,308526,EB,False,,,平,,0.0156,2026-08-07 17:15:01
2026-08-07,LC,碳酸锂,commodity,商品期货,凉,7.9,,trend_animal_api,API direct fact,308564,lc,False,-24.0,立冬,凉,,-0.0093,2026-08-07 17:15:01
2026-08-07,M,豆粕,commodity,商品期货,平,73.7,,trend_animal_api,API direct fact,308534,M,False,,,平,,0.0053,2026-08-07 17:15:01
2026-08-07,JM,焦煤,commodity,商品期货,平,42.1,,trend_animal_api,API direct fact,308549,JM,False,,立春,凉,,0.023,2026-08-07 17:15:01
2026-08-07,JD,鸡蛋,commodity,商品期货,平,35.5,,trend_animal_api,API direct fact,308545,JD,False,,,平,,0.0067,2026-08-07 17:15:01
2026-08-07,AU,黄金,commodity,商品期货,热,94.6,,trend_animal_api,API direct fact,707175,AU2708,True,3.0,立夏,热,,0.0104,2026-08-07 17:15:01
2026-08-07,AG,白银,commodity,商品期货,热,92.9,,trend_animal_api,API direct fact,707180,AG2707,True,3.0,立夏,热,,0.0365,2026-08-07 17:15:01
2026-08-07,LH,生猪,commodity,商品期货,凉,17.1,,trend_animal_api,API direct fact,308562,LH,False,,,平,,-0.0025,2026-08-07 17:15:01
2026-08-07,IH,上证50,stock_index,ETF基金,温,75.8,,trend_animal_api,API direct fact,328631,510190,False,,,温,,0.0137,2026-08-07 17:15:01
