snapshot_date,symbol,variety,temperature,strength,trend_rank,source,note
2026-07-10,JD,鸡蛋,温,100,1,user_screenshot,多头预警
2026-07-10,M,豆粕,温,99,2,user_screenshot,多头预警
2026-07-10,B,豆二,温,97,3,user_screenshot,多头预警
2026-07-10,Y,豆油,温,96,4,user_screenshot,多头预警
2026-07-10,FB,纤维板,温,95,5,user_screenshot,多头预警
2026-07-10,ZN,锌,温,94,6,user_screenshot,多头预警
2026-07-10,SN,锡,平,92,7,user_screenshot,平指标不纳入趋势观察
2026-07-10,I,铁矿石,凉,90,1,user_screenshot,空头预警
2026-07-10,C,玉米,凉,80,2,user_screenshot,空头预警
2026-07-10,V,PVC,凉,75,3,user_screenshot,空头预警
2026-07-10,SI,工业硅,凉,70,4,user_screenshot,空头预警
2026-07-10,PG,LPG,凉,65,5,user_screenshot,空头预警
2026-07-10,EG,乙二醇,凉,60,6,user_screenshot,空头预警
2026-07-10,SH,烧碱,凉,55,7,user_screenshot,空头预警
2026-07-10,RB,螺纹钢,凉,45,8,user_screenshot,空头预警
2026-07-10,NI,镍,凉,40,9,user_screenshot,空头预警
2026-07-10,AO,氧化铝,凉,35,10,user_screenshot,空头预警
2026-07-10,UR,尿素,凉,30,11,user_screenshot,空头预警
2026-07-10,FG,玻璃,凉,20,12,user_screenshot,空头预警
2026-07-10,BU,沥青,凉,15,13,user_screenshot,空头预警
2026-07-10,CJ,红枣,凉,10,14,user_screenshot,空头预警
2026-07-10,SA,纯碱,凉,5,15,user_screenshot,空头预警
